Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
tablesaw,tech.tablesaw.io.arrow,ArrowWriterTest,3.0,3.0,3.0,3.0,0.5,0.0
tablesaw,tech.tablesaw.io.arrow,ArrowReader,3.0,0.0,2.0,1.0,0.3333333333333333,0.0
tablesaw,tech.tablesaw.io.arrow,ArrowWriter,6.0,0.0,4.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.io.html,HtmlWriterTest,5.0,4.0,5.0,5.0,0.8333333333333334,0.0
tablesaw,tech.tablesaw.io.html,HtmlWriteOptions,130.0,124.0,15.0,14.0,0.96875,0.7058823529411765
tablesaw,tech.tablesaw.io.html,Builder,21.0,21.0,7.0,7.0,1.0,1.0
tablesaw,tech.tablesaw.io.html,ElementCreator,1.0,0.0,2.0,1.0,0.0,-1.0
tablesaw,tech.tablesaw.io.html,HtmlReader,3.0,0.0,3.0,2.0,1.0,0.6666666666666666
tablesaw,tech.tablesaw.io.html,HtmlReadOptions,462.0,459.0,30.0,30.0,0.9833333333333333,0.9354838709677419
tablesaw,tech.tablesaw.io.html,Builder,190.0,190.0,20.0,20.0,1.0,1.0
tablesaw,tech.tablesaw.io.html,HtmlWriter,10.0,0.0,5.0,2.0,1.0,0.4
tablesaw,tech.tablesaw.examples,ScattterPlotMatrixExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,HistogramOverlayExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,HorizontalBarExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,Histogram2dTraceTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,ScatterVisualizations,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,AreaPlotExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,HistogramHorizontalExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,ScatterplotWithTwoYAxes,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,BubbleExample2,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,SimpleScatterExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,ScatterLegendExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,TimeSeriesVisualizations,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,TimeSeriesExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,TukeyMeanDistributionPlotExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,TornadoVisualizations,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,BubbleExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,BarPieAndParetoExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,MultiPlotExample,1.0,0.0,2.0,1.0,1.0,0.0
tablesaw,tech.tablesaw.examples,HeatmapExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,QuantileExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,LinePlotExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,AbstractExample,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.examples,ScatterplotWithSpecificAxisRange,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,DistributionVisualizations,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,BoxExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,MarkerOptionsExample,12.0,0.0,2.0,1.0,0.3055555555555555,0.0
tablesaw,tech.tablesaw.examples,HistogramFuncExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,SubplotExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,HistogramProbabilityExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,PieExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,HoverBroadcastExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,LinePlotExampleWithSmoothing,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,LineOptionsExample,8.0,0.0,2.0,1.0,0.125,0.0
tablesaw,tech.tablesaw.examples,HistogramExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,ParetoExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,DotPlotExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,QQPlotExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,BarExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,PivotTableExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,TornadoExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,PopulationExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,AbstractExample,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.examples,Example1,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,CrossTabsExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,TextExample,1.0,0.0,2.0,1.0,1.5,0.0
tablesaw,tech.tablesaw.examples,OperationsExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,BusStopExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.components,AxisTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.components,GridTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.components,TemplateUtilsTest,2.0,1.0,2.0,1.0,0.8333333333333334,0.0
tablesaw,tech.tablesaw.components,HoverLabelTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.components,MarkerTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.components,AnnotationTest,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.components,LayoutTest,3.0,0.0,3.0,3.0,1.0,1.0
tablesaw,tech.tablesaw.plotly,HistogramTraceTest,0.0,0.0,1.0,1.0,0.5,0.0
tablesaw,tech.tablesaw.plotly,BoxTest,0.0,0.0,1.0,1.0,-0.0,0.0
tablesaw,tech.tablesaw.plotly,PageTest,0.0,0.0,1.0,1.0,-0.0,0.0
tablesaw,tech.tablesaw.plotly,ViolinTest,0.0,0.0,1.0,1.0,-0.0,0.0
tablesaw,tech.tablesaw.plotly,ContourTest,2.0,1.0,2.0,2.0,0.5,0.6666666666666666
tablesaw,tech.tablesaw.plotly,PlotTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly,OhlcTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly,PieTest,0.0,0.0,1.0,1.0,-0.0,0.0
tablesaw,tech.tablesaw.plotly,BubbleTest,0.0,0.0,1.0,1.0,-0.0,0.0
tablesaw,tech.tablesaw.plotly,UtilsTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly,TimeSeriesTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly,BarTest,0.0,0.0,1.0,1.0,-0.0,0.0
tablesaw,tech.tablesaw.plotly,Scatter3DTest,4.0,0.0,2.0,2.0,0.3125,0.4
tablesaw,tech.tablesaw.plotly,ScatterTest,0.0,0.0,1.0,1.0,0.4,0.0
tablesaw,tech.tablesaw.plotly,Plot,28.0,0.0,8.0,2.0,0.9642857142857143,0.0
tablesaw,tech.tablesaw.plotly,Utils,15.0,0.0,6.0,5.0,0.0,0.8333333333333334
tablesaw,tech.tablesaw.plotly.components,ConfigTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.components,FigureTest,0.0,0.0,1.0,1.0,0.125,0.0
tablesaw,tech.tablesaw.plotly.components,ChangeTest,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.components,Annotation,1576.0,1441.0,51.0,51.0,0.9942528735632183,0.1016949152542373
tablesaw,tech.tablesaw.plotly.components,AnnotationBuilder,946.0,946.0,44.0,44.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components,TickSettings,611.0,519.0,27.0,27.0,0.9798622151563329,0.13157894736842105
tablesaw,tech.tablesaw.plotly.components,TickSettingsBuilder,298.0,296.0,23.0,23.0,0.996376811594203,0.92
tablesaw,tech.tablesaw.plotly.components,Axis,1856.0,1567.0,53.0,53.0,0.9915632754342432,0.13636363636363635
tablesaw,tech.tablesaw.plotly.components,AxisBuilder,487.0,478.0,27.0,27.0,0.9922135706340378,0.84375
tablesaw,tech.tablesaw.plotly.components,Spikes,74.0,57.0,11.0,11.0,0.9551282051282051,0.35714285714285715
tablesaw,tech.tablesaw.plotly.components,SpikesBuilder,21.0,21.0,7.0,7.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components,ColorBar,344.0,282.0,24.0,24.0,0.9852941176470589,0.1724137931034483
tablesaw,tech.tablesaw.plotly.components,ColorBarBuilder,135.0,134.0,16.0,16.0,0.99609375,0.9411764705882353
tablesaw,tech.tablesaw.plotly.components,Line,101.0,82.0,13.0,12.0,0.9619047619047619,0.3125
tablesaw,tech.tablesaw.plotly.components,LineBuilder,21.0,21.0,7.0,7.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components,Marker,280.0,235.0,22.0,22.0,0.977,0.19230769230769232
tablesaw,tech.tablesaw.plotly.components,MarkerBuilder,149.0,145.0,15.0,15.0,0.9816176470588235,0.8333333333333334
tablesaw,tech.tablesaw.plotly.components,Grid,135.0,117.0,17.0,17.0,0.9669117647058824,0.5
tablesaw,tech.tablesaw.plotly.components,GridBuilder,44.0,43.0,9.0,9.0,0.9861111111111112,0.9
tablesaw,tech.tablesaw.plotly.components,Layout,552.0,474.0,34.0,32.0,0.9865306122448979,0.1111111111111111
tablesaw,tech.tablesaw.plotly.components,LayoutBuilder,231.0,231.0,26.0,26.0,1.0073260073260073,1.0
tablesaw,tech.tablesaw.plotly.components,Figure,234.0,143.0,7.0,6.0,0.888,0.11538461538461539
tablesaw,tech.tablesaw.plotly.components,FigureBuilder,17.0,13.0,4.0,4.0,0.875,0.5714285714285714
tablesaw,tech.tablesaw.plotly.components,Domain,36.0,27.0,9.0,8.0,0.9444444444444444,0.4
tablesaw,tech.tablesaw.plotly.components,DomainBuilder,10.0,10.0,5.0,5.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components,Component,21.0,21.0,7.0,3.0,1.0,0.42857142857142855
tablesaw,tech.tablesaw.plotly.components,Config,38.0,31.0,9.0,8.0,0.9444444444444444,0.5
tablesaw,tech.tablesaw.plotly.components,Builder,10.0,10.0,5.0,5.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components,HoverLabel,36.0,27.0,9.0,8.0,0.9444444444444444,0.4
tablesaw,tech.tablesaw.plotly.components,HoverLabelBuilder,10.0,10.0,5.0,5.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components,Font,72.0,53.0,10.0,9.0,0.8901098901098901,0.42857142857142855
tablesaw,tech.tablesaw.plotly.components,FontBuilder,10.0,10.0,5.0,5.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components,Page,13.0,5.0,6.0,6.0,0.8611111111111112,0.42857142857142855
tablesaw,tech.tablesaw.plotly.components,PageBuilder,3.0,3.0,3.0,3.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components,TemplateUtils,3.0,0.0,3.0,3.0,0.5,0.6666666666666666
tablesaw,tech.tablesaw.plotly.components,Margin,65.0,52.0,12.0,11.0,0.9583333333333334,0.38461538461538464
tablesaw,tech.tablesaw.plotly.components,MarginBuilder,28.0,28.0,8.0,8.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components,Gradient,46.0,37.0,8.0,7.0,0.9199999999999999,0.45454545454545453
tablesaw,tech.tablesaw.plotly.components,GradientBuilder,5.0,4.0,3.0,3.0,0.8333333333333334,0.75
tablesaw,tech.tablesaw.plotly.components.threeD,EyeTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.components.threeD,UpTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.components.threeD,CenterTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.components.threeD,Eye,3.0,0.0,2.0,2.0,0.3333333333333333,0.5
tablesaw,tech.tablesaw.plotly.components.threeD,EyeBuilder,1.0,1.0,2.0,2.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components.threeD,Up,3.0,0.0,2.0,2.0,0.5833333333333334,0.5
tablesaw,tech.tablesaw.plotly.components.threeD,UpBuilder,1.0,1.0,2.0,2.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components.threeD,Center,3.0,0.0,2.0,2.0,0.3333333333333333,0.5
tablesaw,tech.tablesaw.plotly.components.threeD,CenterBuilder,1.0,1.0,2.0,2.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components.threeD,Camera,21.0,14.0,7.0,7.0,0.9285714285714286,0.5
tablesaw,tech.tablesaw.plotly.components.threeD,CameraBuilder,6.0,6.0,4.0,4.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components.threeD,CameraComponent,5.0,4.0,3.0,2.0,0.6666666666666666,0.5
tablesaw,tech.tablesaw.plotly.components.threeD,Scene,27.0,18.0,8.0,7.0,0.9375,0.3333333333333333
tablesaw,tech.tablesaw.plotly.components.threeD,SceneBuilder,10.0,10.0,5.0,5.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.traces,TraceBuilderTest,6.0,0.0,4.0,4.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.traces,PieTrace,33.0,21.0,8.0,7.0,0.8888888888888888,0.4
tablesaw,tech.tablesaw.plotly.traces,PieBuilder,10.0,10.0,5.0,5.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.traces,ViolinTrace,80.0,55.0,11.0,10.0,0.9047619047619048,0.4
tablesaw,tech.tablesaw.plotly.traces,ViolinBuilder,35.0,34.0,8.0,8.0,0.95,0.8888888888888888
tablesaw,tech.tablesaw.plotly.traces,ContourTrace,28.0,20.0,8.0,7.0,0.890625,0.4444444444444444
tablesaw,tech.tablesaw.plotly.traces,ContourBuilder,10.0,10.0,5.0,5.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.traces,TraceBuilder,55.0,55.0,12.0,12.0,1.011111111111111,1.0
tablesaw,tech.tablesaw.plotly.traces,HistogramTrace,399.0,363.0,23.0,21.0,0.9745127436281859,0.36666666666666664
tablesaw,tech.tablesaw.plotly.traces,HistogramBuilder,167.0,163.0,16.0,16.0,0.9848484848484849,0.8421052631578947
tablesaw,tech.tablesaw.plotly.traces,Histogram2DTrace,18.0,8.0,6.0,5.0,0.8285714285714285,0.375
tablesaw,tech.tablesaw.plotly.traces,Histogram2DBuilder,3.0,3.0,3.0,3.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.traces,BoxTrace,57.0,36.0,9.0,8.0,0.8333333333333334,0.46153846153846156
tablesaw,tech.tablesaw.plotly.traces,BoxBuilder,20.0,19.0,6.0,6.0,0.8888888888888888,0.8571428571428571
tablesaw,tech.tablesaw.plotly.traces,ScatterTrace,561.0,492.0,29.0,28.0,0.9743589743589743,0.2777777777777778
tablesaw,tech.tablesaw.plotly.traces,ScatterBuilder,271.0,266.0,20.0,20.0,0.9872122762148338,0.8333333333333334
tablesaw,tech.tablesaw.plotly.traces,BarTrace,131.0,109.0,13.0,12.0,0.9294117647058824,0.4444444444444444
tablesaw,tech.tablesaw.plotly.traces,BarBuilder,54.0,53.0,10.0,10.0,0.96,0.9090909090909091
tablesaw,tech.tablesaw.plotly.traces,AbstractTrace,20.0,12.0,3.0,2.0,0.8571428571428571,0.25
tablesaw,tech.tablesaw.plotly.traces,Trace,6.0,0.0,4.0,4.0,0.0,-1.0
tablesaw,tech.tablesaw.plotly.traces,HeatmapTrace,28.0,20.0,8.0,7.0,0.890625,0.4444444444444444
tablesaw,tech.tablesaw.plotly.traces,HeatmapBuilder,10.0,10.0,5.0,5.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.traces,Scatter3DTrace,185.0,160.0,16.0,15.0,0.9366666666666668,0.42857142857142855
tablesaw,tech.tablesaw.plotly.traces,Scatter3DBuilder,89.0,87.0,12.0,12.0,0.9560439560439561,0.8571428571428571
tablesaw,tech.tablesaw.plotly.components.change,Change,10.0,5.0,5.0,4.0,0.9,0.3333333333333333
tablesaw,tech.tablesaw.plotly.components.change,ChangeBuilder,1.0,1.0,2.0,2.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components.change,Decreasing,10.0,0.0,5.0,5.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.components.change,DecreasingBuilder,3.0,0.0,3.0,3.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.components.change,ChangeLine,23.0,18.0,7.0,6.0,0.9523809523809524,0.5
tablesaw,tech.tablesaw.plotly.components.change,LineBuilder,3.0,3.0,3.0,3.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components.change,Increasing,10.0,0.0,5.0,5.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.components.change,IncreasingBuilder,3.0,0.0,3.0,3.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.display,Browser,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.event,HoverEventHandler,7.0,4.0,4.0,4.0,0.9166666666666667,0.6
tablesaw,tech.tablesaw.plotly.event,HoverEventHanlderBuilder,1.0,1.0,2.0,2.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.event,EventHandlerBody,0.0,0.0,1.0,1.0,0.0,-1.0
tablesaw,tech.tablesaw.plotly.event,EventHandler,0.0,0.0,1.0,1.0,0.0,-1.0
tablesaw,tech.tablesaw.plotly.event,HoverBroadcastBody,10.0,5.0,5.0,5.0,0.9,0.5
tablesaw,tech.tablesaw.plotly.event,HoverBroadcastBuilder,3.0,3.0,3.0,3.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.api,Heatmap,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.api,Histogram2D,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.api,OHLCPlot,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.api,ScatterPlot,3.0,0.0,3.0,3.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.api,LinePlot,3.0,0.0,3.0,3.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.api,TukeyMeanDifferencePlot,3.0,0.0,3.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.api,Histogram,3.0,0.0,3.0,2.0,0.0,0.6666666666666666
tablesaw,tech.tablesaw.plotly.api,AreaPlot,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.api,BubblePlot,6.0,0.0,4.0,3.0,0.0,0.75
tablesaw,tech.tablesaw.plotly.api,VerticalBarPlot,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.api,QuantilePlot,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.api,ContourPlot,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.api,HorizontalBarPlot,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.api,BoxPlot,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.api,QQPlot,3.0,0.0,3.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.api,ViolinPlot,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.api,Scatter3DPlot,6.0,0.0,4.0,1.0,1.0,0.0
tablesaw,tech.tablesaw.plotly.api,CandlestickPlot,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.api,BarPlot,3.0,0.0,3.0,1.0,1.0,0.0
tablesaw,tech.tablesaw.plotly.api,ParetoPlot,3.0,0.0,3.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.api,PiePlot,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.api,PricePlot,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.api,TimeSeriesPlot,15.0,0.0,6.0,6.0,0.0,1.0
tablesaw,tech.tablesaw.docs,OutputWriter,14.0,13.0,5.0,3.0,1.0,0.5
tablesaw,tech.tablesaw.docs,System,1.0,0.0,2.0,2.0,2.0,1.0
tablesaw,tech.tablesaw.docs,Printer,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.docs,GettingStarted,28.0,0.0,8.0,1.0,0.8571428571428571,0.0
tablesaw,tech.tablesaw.docs,DocsSourceFile,0.0,0.0,1.0,1.0,0.0,-1.0
tablesaw,tech.tablesaw.docs,Tutorial,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.docs,Main,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.docs.userguide,CrossTabs,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.io.jsonl,JsonlWriterTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.io.jsonl,JsonlReaderTest,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.io.jsonl,JsonlReadOptions,462.0,459.0,30.0,30.0,0.9833333333333333,0.9354838709677419
tablesaw,tech.tablesaw.io.jsonl,Builder,190.0,190.0,20.0,20.0,1.0,1.0
tablesaw,tech.tablesaw.io.jsonl,JsonlWriter,3.0,0.0,3.0,2.0,1.0,0.6666666666666666
tablesaw,tech.tablesaw.io.jsonl,JsonlWriteOptions,10.0,0.0,5.0,5.0,0.0,1.0
tablesaw,tech.tablesaw.io.jsonl,Builder,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.io.jsonl,JsonlReader,6.0,0.0,4.0,2.0,0.8333333333333334,0.5
tablesaw,tech.tablesaw.io.json,JsonWriterTest,3.0,0.0,3.0,3.0,0.0,1.0
