Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM,file
tech.tablesaw.columns.numbers,FloatColumnType,15.0,0.0,6.0,6.0,1.0666666666666669,1.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/FloatColumnType.java'
tech.tablesaw.aggregate,DateAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/DateAggregateFunction.java'
tech.tablesaw.aggregate,BooleanIntAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/BooleanIntAggregateFunction.java'
tech.tablesaw.aggregate,NumericAggregateFunction,3.0,0.0,3.0,3.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/NumericAggregateFunction.java'
tech.tablesaw.aggregate,TimeAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/TimeAggregateFunction.java'
tech.tablesaw.columns.dates,DateColumnFormatter,10.0,0.0,5.0,5.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/dates/DateColumnFormatter.java'
tech.tablesaw.io.xlsx,XlsxWriter,3.0,0.0,3.0,3.0,1.0,1.0,'tablesaw/excel/src/main/java/tech/tablesaw/io/xlsx/XlsxWriter.java'
tech.tablesaw.plotly.traces,TraceBuilder,55.0,55.0,12.0,12.0,1.011111111111111,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/traces/TraceBuilder.java'
tech.tablesaw.aggregate,StringAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/StringAggregateFunction.java'
tech.tablesaw.aggregate,InstantAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/InstantAggregateFunction.java'
tech.tablesaw.plotly.api,ScatterPlot,3.0,0.0,3.0,3.0,1.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/ScatterPlot.java'
tech.tablesaw.plotly.api,LinePlot,3.0,0.0,3.0,3.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/LinePlot.java'
tech.tablesaw.plotly.api,AreaPlot,1.0,0.0,2.0,2.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/AreaPlot.java'
tech.tablesaw.plotly.api,VerticalBarPlot,1.0,0.0,2.0,2.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/VerticalBarPlot.java'
tech.tablesaw.plotly.api,ContourPlot,1.0,0.0,2.0,2.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/ContourPlot.java'
tech.tablesaw.plotly.api,HorizontalBarPlot,1.0,0.0,2.0,2.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/HorizontalBarPlot.java'
tech.tablesaw.aggregate,BooleanAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/BooleanAggregateFunction.java'
tech.tablesaw.aggregate,DateTimeAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/DateTimeAggregateFunction.java'
tech.tablesaw.columns.numbers,DoubleColumnType,15.0,0.0,6.0,6.0,1.0666666666666669,1.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/DoubleColumnType.java'
tech.tablesaw.plotly.api,TimeSeriesPlot,15.0,0.0,6.0,6.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/TimeSeriesPlot.java'
tech.tablesaw.aggregate,BooleanDoubleAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/BooleanDoubleAggregateFunction.java'
tech.tablesaw.plotly.api,Heatmap,1.0,0.0,2.0,2.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/Heatmap.java'
tech.tablesaw.io.jsonl,JsonlWriteOptions,10.0,0.0,5.0,5.0,0.0,1.0,'tablesaw/json/src/main/java/tech/tablesaw/io/jsonl/JsonlWriteOptions.java'
tech.tablesaw.plotly.components.change,Decreasing,10.0,0.0,5.0,5.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/change/Decreasing.java'
tech.tablesaw.plotly.components.change,Increasing,10.0,0.0,5.0,5.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/change/Increasing.java'
tech.tablesaw.plotly.display,Browser,1.0,0.0,2.0,2.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/display/Browser.java'
tech.tablesaw.aggregate,AnyIntAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/AnyIntAggregateFunction.java'
tech.tablesaw.filtering,DeferredNumberColumn,210.0,0.0,21.0,21.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/filtering/DeferredNumberColumn.java'
tech.tablesaw.columns.times,TimeColumnFormatter,10.0,0.0,5.0,5.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/times/TimeColumnFormatter.java'
tech.tablesaw.io.saw,SawUtils,1.0,0.0,2.0,2.0,1.8,1.0,'tablesaw/saw/src/main/java/tech/tablesaw/io/saw/SawUtils.java'
tech.tablesaw.columns.strings,StringParser,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/strings/StringParser.java'
tech.tablesaw.util,DoubleArrays,15.0,0.0,6.0,6.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/util/DoubleArrays.java'
tech.tablesaw.filtering,DeferredDateTimeColumn,1176.0,0.0,49.0,49.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/filtering/DeferredDateTimeColumn.java'
tech.tablesaw.filtering,DeferredInstantColumn,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/filtering/DeferredInstantColumn.java'
tech.tablesaw.sorting,SortUtils,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/sorting/SortUtils.java'
tech.tablesaw.filtering,DeferredStringColumn,276.0,0.0,24.0,24.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/filtering/DeferredStringColumn.java'
tech.tablesaw.filtering,DeferredTimeColumn,105.0,0.0,15.0,15.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/filtering/DeferredTimeColumn.java'
tech.tablesaw.filtering,DeferredBooleanColumn,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/filtering/DeferredBooleanColumn.java'
tech.tablesaw.filtering,DeferredDateColumn,820.0,0.0,41.0,41.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/filtering/DeferredDateColumn.java'
tech.tablesaw.analytic,NumberingFunction,3.0,0.0,3.0,3.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/analytic/NumberingFunction.java'
tech.tablesaw.columns.numbers,NumberRollingColumn,78.0,0.0,13.0,13.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/NumberRollingColumn.java'
tech.tablesaw.io.json,JsonReadOptions,462.0,459.0,30.0,30.0,0.9833333333333332,0.935483870967742,'tablesaw/json/src/main/java/tech/tablesaw/io/json/JsonReadOptions.java'
tech.tablesaw.io.jsonl,JsonlReadOptions,462.0,459.0,30.0,30.0,0.9833333333333332,0.935483870967742,'tablesaw/json/src/main/java/tech/tablesaw/io/jsonl/JsonlReadOptions.java'
tech.tablesaw.io.html,HtmlReadOptions,462.0,459.0,30.0,30.0,0.9833333333333332,0.935483870967742,'tablesaw/html/src/main/java/tech/tablesaw/io/html/HtmlReadOptions.java'
tech.tablesaw.io.xlsx,XlsxReadOptions,375.0,372.0,27.0,27.0,0.9814814814814816,0.9285714285714286,'tablesaw/excel/src/main/java/tech/tablesaw/io/xlsx/XlsxReadOptions.java'
tech.tablesaw.api,QuerySupport,325.0,0.0,26.0,24.0,0.0,0.9230769230769232,'tablesaw/core/src/main/java/tech/tablesaw/api/QuerySupport.java'
tech.tablesaw.io.xlsx,XlsxWriteOptions,55.0,0.0,11.0,10.0,0.0,0.9090909090909092,'tablesaw/excel/src/main/java/tech/tablesaw/io/xlsx/XlsxWriteOptions.java'
tech.tablesaw.columns.numbers,LongColumnType,21.0,0.0,7.0,6.0,1.0,0.8571428571428571,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/LongColumnType.java'
tech.tablesaw.columns,AbstractColumnParser,76.0,74.0,11.0,11.0,0.9166666666666666,0.8461538461538461,'tablesaw/core/src/main/java/tech/tablesaw/columns/AbstractColumnParser.java'
tech.tablesaw.columns.datetimes,DateTimeColumnType,15.0,0.0,6.0,5.0,1.0666666666666669,0.8333333333333334,'tablesaw/core/src/main/java/tech/tablesaw/columns/datetimes/DateTimeColumnType.java'
tech.tablesaw.columns.numbers,IntColumnType,15.0,0.0,6.0,5.0,1.0666666666666669,0.8333333333333334,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/IntColumnType.java'
tech.tablesaw.plotly,Utils,15.0,0.0,6.0,5.0,0.0,0.8333333333333334,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/Utils.java'
tech.tablesaw.columns.times,TimeColumnType,15.0,0.0,6.0,5.0,1.0666666666666669,0.8333333333333334,'tablesaw/core/src/main/java/tech/tablesaw/columns/times/TimeColumnType.java'
tech.tablesaw.columns.dates,DateColumnType,15.0,0.0,6.0,5.0,1.0666666666666669,0.8333333333333334,'tablesaw/core/src/main/java/tech/tablesaw/columns/dates/DateColumnType.java'
tech.tablesaw.columns.strings,StringColumnType,15.0,0.0,6.0,5.0,1.0666666666666669,0.8333333333333334,'tablesaw/core/src/main/java/tech/tablesaw/columns/strings/StringColumnType.java'
tech.tablesaw.columns.instant,InstantColumnType,15.0,0.0,6.0,5.0,1.0666666666666669,0.8333333333333334,'tablesaw/core/src/main/java/tech/tablesaw/columns/instant/InstantColumnType.java'
tech.tablesaw.columns.booleans,BooleanColumnType,15.0,0.0,6.0,5.0,1.1333333333333333,0.8333333333333334,'tablesaw/core/src/main/java/tech/tablesaw/columns/booleans/BooleanColumnType.java'
tech.tablesaw.columns.numbers,ShortColumnType,15.0,0.0,6.0,5.0,1.0666666666666669,0.8333333333333334,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/ShortColumnType.java'
tech.tablesaw.columns.booleans,BooleanParser,10.0,0.0,5.0,5.0,0.875,0.8,'tablesaw/core/src/main/java/tech/tablesaw/columns/booleans/BooleanParser.java'
tech.tablesaw.columns.numbers,FloatParser,10.0,0.0,5.0,4.0,0.0,0.8,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/FloatParser.java'
tech.tablesaw.filtering,DeferredColumn,5.0,4.0,3.0,3.0,0.6666666666666666,0.75,'tablesaw/core/src/main/java/tech/tablesaw/filtering/DeferredColumn.java'
tech.tablesaw.plotly.api,BubblePlot,6.0,0.0,4.0,3.0,0.0,0.75,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/BubblePlot.java'
tech.tablesaw.columns,AbstractColumn,261.0,246.0,17.0,17.0,0.9239130434782608,0.7083333333333334,'tablesaw/core/src/main/java/tech/tablesaw/columns/AbstractColumn.java'
tech.tablesaw.io.html,HtmlWriteOptions,130.0,124.0,15.0,14.0,0.96875,0.7058823529411765,'tablesaw/html/src/main/java/tech/tablesaw/io/html/HtmlWriteOptions.java'
tech.tablesaw.io.csv,CsvReadOptions,1429.0,1373.0,46.0,46.0,0.9722222222222222,0.6909090909090909,'tablesaw/core/src/main/java/tech/tablesaw/io/csv/CsvReadOptions.java'
tech.tablesaw.util,StringUtils,120.0,0.0,16.0,14.0,0.9333333333333332,0.6875,'tablesaw/core/src/main/java/tech/tablesaw/util/StringUtils.java'
tech.tablesaw.plotly.components,TemplateUtils,3.0,0.0,3.0,3.0,0.5,0.6666666666666666,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/TemplateUtils.java'
tech.tablesaw.io.html,HtmlReader,3.0,0.0,3.0,2.0,1.0,0.6666666666666666,'tablesaw/html/src/main/java/tech/tablesaw/io/html/HtmlReader.java'
tech.tablesaw.io.json,JsonWriter,3.0,0.0,3.0,2.0,1.0,0.6666666666666666,'tablesaw/json/src/main/java/tech/tablesaw/io/json/JsonWriter.java'
tech.tablesaw.plotly.api,Histogram,3.0,0.0,3.0,2.0,0.0,0.6666666666666666,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/Histogram.java'
tech.tablesaw.aggregate,AggregateFunction,12.0,9.0,4.0,4.0,0.6,0.6666666666666666,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/AggregateFunction.java\ntablesaw/core/src/main/java/tech/tablesaw/analytic/AggregateFunction.java'
tech.tablesaw.io.jsonl,JsonlWriter,3.0,0.0,3.0,2.0,1.0,0.6666666666666666,'tablesaw/json/src/main/java/tech/tablesaw/io/jsonl/JsonlWriter.java'
tech.tablesaw.beakerx,TablesawDisplayer,15.0,0.0,6.0,4.0,0.0,0.6666666666666666,'tablesaw/beakerx/src/main/java/tech/tablesaw/beakerx/TablesawDisplayer.java'
tech.tablesaw.columns.instant,InstantParser,3.0,0.0,3.0,2.0,0.0,0.6666666666666666,'tablesaw/core/src/main/java/tech/tablesaw/columns/instant/InstantParser.java'
tech.tablesaw.table,SelectionTableSliceGroup,3.0,0.0,3.0,2.0,0.0,0.6666666666666666,'tablesaw/core/src/main/java/tech/tablesaw/table/SelectionTableSliceGroup.java'
tech.tablesaw.io.fixed,FixedWidthReadOptions,963.0,936.0,36.0,36.0,0.9872159090909092,0.6222222222222222,'tablesaw/core/src/main/java/tech/tablesaw/io/fixed/FixedWidthReadOptions.java'
tech.tablesaw.index,LongIndex,132.0,111.0,12.0,11.0,0.6470588235294118,0.6111111111111112,'tablesaw/core/src/main/java/tech/tablesaw/index/LongIndex.java'
tech.tablesaw.plotly.event,HoverEventHandler,7.0,4.0,4.0,4.0,0.9166666666666669,0.6,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/event/HoverEventHandler.java'
tech.tablesaw.columns.datetimes,DateTimeParser,7.0,4.0,3.0,3.0,1.125,0.6,'tablesaw/core/src/main/java/tech/tablesaw/columns/datetimes/DateTimeParser.java'
tech.tablesaw.columns,SkipColumnType,10.0,0.0,5.0,5.0,1.0,0.6,'tablesaw/core/src/main/java/tech/tablesaw/columns/SkipColumnType.java'
tech.tablesaw.index,IntIndex,143.0,115.0,12.0,11.0,0.6111111111111112,0.5789473684210527,'tablesaw/core/src/main/java/tech/tablesaw/index/IntIndex.java'
tech.tablesaw.io.saw,SawWriteOptions,18.0,15.0,4.0,4.0,0.9166666666666666,0.5714285714285714,'tablesaw/saw/src/main/java/tech/tablesaw/io/saw/SawWriteOptions.java'
tech.tablesaw.api,NumberColumn,110.0,100.0,12.0,9.0,0.888888888888889,0.5625,'tablesaw/core/src/main/java/tech/tablesaw/api/NumberColumn.java'
tech.tablesaw.table,StandardTableSliceGroup,33.0,30.0,7.0,6.0,0.75,0.5555555555555556,'tablesaw/core/src/main/java/tech/tablesaw/table/StandardTableSliceGroup.java'
tech.tablesaw.io.json,JsonWriteOptions,30.0,24.0,7.0,7.0,0.9375,0.5555555555555556,'tablesaw/json/src/main/java/tech/tablesaw/io/json/JsonWriteOptions.java'
tech.tablesaw.io,WriterRegistry,4.0,2.0,2.0,2.0,0.6666666666666666,0.5,'tablesaw/core/src/main/java/tech/tablesaw/io/WriterRegistry.java'
tech.tablesaw.io.jsonl,JsonlReader,6.0,0.0,4.0,2.0,0.8333333333333334,0.5,'tablesaw/json/src/main/java/tech/tablesaw/io/jsonl/JsonlReader.java'
tech.tablesaw.io.saw,SawReadOptions,11.0,7.0,3.0,3.0,0.8666666666666666,0.5,'tablesaw/saw/src/main/java/tech/tablesaw/io/saw/SawReadOptions.java'
tech.tablesaw.plotly.components.threeD,Camera,21.0,14.0,7.0,7.0,0.9285714285714286,0.5,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/threeD/Camera.java'
tech.tablesaw.docs,OutputWriter,14.0,13.0,5.0,3.0,1.0,0.5,'tablesaw/docs-src/src/main/java/tech/tablesaw/docs/OutputWriter.java'
tech.tablesaw.columns.times,TimeParser,4.0,2.0,2.0,2.0,1.1794871794871795,0.5,'tablesaw/core/src/main/java/tech/tablesaw/columns/times/TimeParser.java'
tech.tablesaw.plotly.components.threeD,Eye,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/threeD/Eye.java'
tech.tablesaw.plotly.components.threeD,Up,3.0,0.0,2.0,2.0,0.5833333333333334,0.5,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/threeD/Up.java'
tech.tablesaw.plotly.components.threeD,Center,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/threeD/Center.java'
tech.tablesaw.plotly.components.threeD,CameraComponent,5.0,4.0,3.0,2.0,0.6666666666666666,0.5,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/threeD/CameraComponent.java'
tech.tablesaw.io,ReaderRegistry,12.0,9.0,3.0,3.0,0.8,0.5,'tablesaw/core/src/main/java/tech/tablesaw/io/ReaderRegistry.java'
tech.tablesaw.plotly.components,Grid,135.0,117.0,17.0,17.0,0.9669117647058824,0.5,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/Grid.java'
tech.tablesaw.conversion.smile,SmileConverter,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,'tablesaw/core/src/main/java/tech/tablesaw/conversion/smile/SmileConverter.java'
tech.tablesaw.plotly.components,Config,38.0,31.0,9.0,8.0,0.9444444444444444,0.5,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/Config.java'
tech.tablesaw.columns.numbers,DoubleParser,15.0,0.0,6.0,3.0,0.0,0.5,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/DoubleParser.java'
tech.tablesaw.io.csv,CsvWriter,15.0,0.0,6.0,3.0,1.0,0.5,'tablesaw/core/src/main/java/tech/tablesaw/io/csv/CsvWriter.java'
tech.tablesaw.plotly.components.change,ChangeLine,23.0,18.0,7.0,6.0,0.9523809523809524,0.5,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/change/ChangeLine.java'
tech.tablesaw.plotly.event,HoverBroadcastBody,10.0,5.0,5.0,5.0,0.9,0.5,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/event/HoverBroadcastBody.java'
tech.tablesaw.joining,AbstractJoiner,465.0,0.0,31.0,15.0,0.0,0.4838709677419355,'tablesaw/core/src/main/java/tech/tablesaw/joining/AbstractJoiner.java'
tech.tablesaw.plotly.traces,BoxTrace,57.0,36.0,9.0,8.0,0.8333333333333334,0.4615384615384615,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/traces/BoxTrace.java'
tech.tablesaw.plotly.components,Gradient,46.0,37.0,8.0,7.0,0.92,0.4545454545454545,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/Gradient.java'
tech.tablesaw.plotly.traces,ContourTrace,28.0,20.0,8.0,7.0,0.890625,0.4444444444444444,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/traces/ContourTrace.java'
tech.tablesaw.plotly.traces,BarTrace,131.0,109.0,13.0,12.0,0.9294117647058824,0.4444444444444444,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/traces/BarTrace.java'
tech.tablesaw.plotly.traces,HeatmapTrace,28.0,20.0,8.0,7.0,0.890625,0.4444444444444444,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/traces/HeatmapTrace.java'
tech.tablesaw.plotly.components,Component,21.0,21.0,7.0,3.0,1.0,0.4285714285714285,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/Component.java'
tech.tablesaw.util,LevenshteinDistance,15.0,9.0,4.0,3.0,0.75,0.4285714285714285,'tablesaw/core/src/main/java/tech/tablesaw/util/LevenshteinDistance.java'
tech.tablesaw.plotly.components,Page,13.0,5.0,6.0,6.0,0.8611111111111112,0.4285714285714285,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/Page.java'
tech.tablesaw.plotly.traces,Scatter3DTrace,185.0,160.0,16.0,15.0,0.9366666666666668,0.4285714285714285,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/traces/Scatter3DTrace.java'
tech.tablesaw.plotly.components,Font,72.0,53.0,10.0,9.0,0.8901098901098901,0.4285714285714285,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/Font.java'
tech.tablesaw.plotly.components,HoverLabel,36.0,27.0,9.0,8.0,0.9444444444444444,0.4,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/HoverLabel.java'
tech.tablesaw.io.jdbc,SqlResultSetReader,10.0,0.0,5.0,3.0,0.75,0.4,'tablesaw/core/src/main/java/tech/tablesaw/io/jdbc/SqlResultSetReader.java'
tech.tablesaw.io.html,HtmlWriter,10.0,0.0,5.0,2.0,1.0,0.4,'tablesaw/html/src/main/java/tech/tablesaw/io/html/HtmlWriter.java'
tech.tablesaw.io.json,JsonReader,10.0,0.0,5.0,2.0,0.875,0.4,'tablesaw/json/src/main/java/tech/tablesaw/io/json/JsonReader.java'
tech.tablesaw.plotly.traces,ViolinTrace,80.0,55.0,11.0,10.0,0.9047619047619048,0.4,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/traces/ViolinTrace.java'
tech.tablesaw.plotly.traces,PieTrace,33.0,21.0,8.0,7.0,0.8888888888888888,0.4,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/traces/PieTrace.java'
tech.tablesaw.plotly.components,Domain,36.0,27.0,9.0,8.0,0.9444444444444444,0.4,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/Domain.java'
tech.tablesaw.table,Relation,2926.0,0.0,77.0,30.0,0.0,0.3896103896103896,'tablesaw/core/src/main/java/tech/tablesaw/table/Relation.java'
tech.tablesaw.aggregate,AggregateFunctions,1176.0,0.0,49.0,26.0,1.0089962121212122,0.3877551020408163,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/AggregateFunctions.java\ntablesaw/core/src/main/java/tech/tablesaw/analytic/AggregateFunctions.java'
tech.tablesaw.io,FileReader,75.0,72.0,11.0,5.0,0.9444444444444444,0.3846153846153846,'tablesaw/core/src/main/java/tech/tablesaw/io/FileReader.java'
tech.tablesaw.plotly.components,Margin,65.0,52.0,12.0,11.0,0.9583333333333334,0.3846153846153846,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/components/Margin.java'
tech.tablesaw.plotly.traces,Histogram2DTrace,18.0,8.0,6.0,5.0,0.8285714285714285,0.375,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/traces/Histogram2DTrace.java'
tech.tablesaw.plotly.traces,HistogramTrace,399.0,363.0,23.0,21.0,0.974512743628186,0.3666666666666666,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/traces/HistogramTrace.java'
tech.tablesaw.io.csv,CsvWriteOptions,563.0,531.0,24.0,23.0,0.9852941176470588,0.3428571428571428,'tablesaw/core/src/main/java/tech/tablesaw/io/csv/CsvWriteOptions.java'
